vid_title,vid_id,category,views,duration,url
10 Minute Standing ABS WORKOUT // No Equipment,Qia2ZXEzyLw,Workout,5396583,11.38,https://www.youtube.com/watch?v=Qia2ZXEzyLw
10 MIN FULL BODY WORKOUT (NO EQUIPMENT BODYWEIGHT WORKOUT!),rAU7taj1g6E,Workout,247782,10.48,https://www.youtube.com/watch?v=rAU7taj1g6E
10 Minute Home Ab Workout (6 PACK GUARANTEED!),uUKAYkQZXko,Workout,18848619,10.45,https://www.youtube.com/watch?v=uUKAYkQZXko
10 min FULL BODY FAT BURNING HIIT (No Equipment),48tN82L4nD0,Workout,632898,13.83,https://www.youtube.com/watch?v=48tN82L4nD0
"10 Minute Fat Burning Cardio Workout - At home, No Jumping (Quiet)",Wg6-xYyB0cg,Workout,334808,11.63,https://www.youtube.com/watch?v=Wg6-xYyB0cg
10 Minute Intense Tabata-style Workout | The Body Coach,b9kswCNyDDY,Workout,362996,10.7,https://www.youtube.com/watch?v=b9kswCNyDDY
10 Minute Beginner Low Impact Cardio Workout For Fat Loss,9H9qdpUzu4M,Workout,2658576,12.58,https://www.youtube.com/watch?v=9H9qdpUzu4M
10 MIN SIXPACK WORKOUT // No Equipment | Pamela Reif,Q-vuR4PJh2c,Workout,40947688,10.38,https://www.youtube.com/watch?v=Q-vuR4PJh2c
Fat Blast 10 Minute Workout | The Lean Machines | Tonic,c2aSpxlm0Mw,Workout,1015823,10.68,https://www.youtube.com/watch?v=c2aSpxlm0Mw
10 Minute Home Workout For Seniors | The Body Coach TV,A2wp8Ipxn9s,Workout,2983608,11.18,https://www.youtube.com/watch?v=A2wp8Ipxn9s
ENERGY BOOSTING FULLBODY 10 MIN WORKOUT l 에너지 부스터 10분 전신 운동,YiWxqUtEEUI,Workout,135970,10.33,https://www.youtube.com/watch?v=YiWxqUtEEUI
10 Minute FULL BODY WORKOUT ♥ Beginner Friendly Workout Routine (Philippines),ChuTbVd6xR4,Workout,1627386,14.13,https://www.youtube.com/watch?v=ChuTbVd6xR4
Beginner/Low Impact 10 Minute Workout,g-D7ncAC9rQ,Workout,122353,10.33,https://www.youtube.com/watch?v=g-D7ncAC9rQ
BELLY FAT Workout ♥ 15 Standing Exercises ♥ 10 Minute Beginner Friendly HIIT (Philippines),JbvnjP77Q68,Workout,5692180,11.25,https://www.youtube.com/watch?v=JbvnjP77Q68
5 Stretches At Your Desk (Without Getting Up),nFIfv-jIgbI,Stretch,7394,5.93,https://www.youtube.com/watch?v=nFIfv-jIgbI
Stretch Breaks at Your Desk (2018),vE1idGTZOIY,Stretch,100011,1.98,https://www.youtube.com/watch?v=vE1idGTZOIY
Real Time Desk Exercises &amp; Stretches - Ask Doctor Jo,CAq9vV7gkrs,Stretch,14089,11.12,https://www.youtube.com/watch?v=CAq9vV7gkrs
Easy At-Work Stretches for Neck Pain and Back Pain,XkT7jxFfPHA,Stretch,58912,3.47,https://www.youtube.com/watch?v=XkT7jxFfPHA
Physio Upper Back Stretch &amp; Relieve Desk Break Routine,TMDX7hdQKSY,Stretch,73325,5.87,https://www.youtube.com/watch?v=TMDX7hdQKSY
Stretch at your desk,KBaSGF6kYqw,Stretch,9286,3.07,https://www.youtube.com/watch?v=KBaSGF6kYqw
Quick and Easy Stretches To Do While Sitting at Your Desk,BdfTuxdfIE8,Stretch,56563,5.32,https://www.youtube.com/watch?v=BdfTuxdfIE8
Desk Exercises &amp; Stretches for Computer Users,db00TEhg9_c,Stretch,15853,3.42,https://www.youtube.com/watch?v=db00TEhg9_c
DAILY DESK STRETCHES - Stretches to do at your desk to prevent pain | Dr. LA Thoma Gustin,vBQkySm333k,Stretch,25867,10.08,https://www.youtube.com/watch?v=vBQkySm333k
6 Best Stretches &amp; Exercises To FIX Desk Posture  | Get Rid Of Neck &amp; Back Pain,_poD7UcGqOk,Stretch,48945,8.38,https://www.youtube.com/watch?v=_poD7UcGqOk
Deskercise -  Lower Back and Torso Stretches,5M-b1c2spPE,Stretch,68482,2.17,https://www.youtube.com/watch?v=5M-b1c2spPE
Deskercise - Neck and Shoulder Stretches,5lbe9oZbpDs,Stretch,56615,1.88,https://www.youtube.com/watch?v=5lbe9oZbpDs
Yoga at Your Desk,tAUf7aajBWE,Stretch,1348428,6.4,https://www.youtube.com/watch?v=tAUf7aajBWE
Desk stretches to reduce pain and discomfort,h40hScXJo20,Stretch,1315,1.68,https://www.youtube.com/watch?v=h40hScXJo20
"Desk Exercises at Work - 10 Minute Desk Stretches For Energy, Posture and Flexibility!",vRQdJQ3Xhzk,Stretch,15020,8.23,https://www.youtube.com/watch?v=vRQdJQ3Xhzk
Stretches you can do at your desk,YdAWmcbyuPU,Stretch,6879,1.83,https://www.youtube.com/watch?v=YdAWmcbyuPU
Relieve Neck Pain &amp; Tension at Your Desk - Daily Physio Routine,FRNtLrMf-1A,Stretch,292995,6.8,https://www.youtube.com/watch?v=FRNtLrMf-1A
Yoga At Your Desk - 10 Min Office Yoga Stretches - Chair Yoga for Everyone - Yoga At Work,w3C08dhJ_SM,Stretch,105695,11.87,https://www.youtube.com/watch?v=w3C08dhJ_SM
How to Stretch your Lower back at your desk,-pqfd-g7rIM,Stretch,43237,5.38,https://www.youtube.com/watch?v=-pqfd-g7rIM
DESKERCISES! || Full stretching routine while at a desk,cL9YO7pw1GY,Stretch,344,6.03,https://www.youtube.com/watch?v=cL9YO7pw1GY
Stretches at your desk 1 - Hips,vAsNz_BRgv8,Stretch,5457,3.95,https://www.youtube.com/watch?v=vAsNz_BRgv8
Deskercise - Chest and Arm Stretches,0b5hBuJihWQ,Stretch,22156,1.9,https://www.youtube.com/watch?v=0b5hBuJihWQ
5 Best Stretches You Can Do At Your Desk For Neck And Back Pain,7Gb_i8wG9kg,Stretch,7435,6.85,https://www.youtube.com/watch?v=7Gb_i8wG9kg
